Studentid,Group,TPT,TPC,CPC,CPT,Num P
19930112,0,1,2,13,1,17
61296129,2,0,4,9,2,15
23143099,0,4,7,2,3,16
13679110,2,6,4,3,3,16
4762120,0,4,4,3,1,12
66362122,0,4,6,5,1,16
51876107,1,8,3,1,6,18
77882125,0,1,7,0,0,8
51352592,0,1,0,11,0,12
10009106,0,7,3,1,0,11
8889108,0,0,2,11,1,14
68995094,1,0,2,4,2,8
8580120,2,6,6,1,0,13
89337123,1,6,3,2,4,15
64153126,1,3,4,7,1,15
82243121,0,3,6,3,2,14
51086123,2,6,1,0,0,7
24387118,1,1,8,4,2,15
28622129,2,0,2,5,0,7
91203122,2,3,7,3,1,14
37987123,2,0,3,9,1,13
39619124,1,1,7,0,3,11
28098102,2,0,1,6,1,8
91235128,1,1,4,5,1,11
18893119,0,5,6,3,5,19
20717120,2,0,3,3,1,7
60076128,1,0,3,5,2,10
98893124,2,1,2,2,4,9
69251126,1,4,7,3,1,15
3932129,0,4,6,3,2,15
62935112,0,0,2,5,3,10
73538121,1,1,5,3,3,12
46231117,1,0,3,5,1,9
82616120,0,0,0,9,2,11
66828119,0,2,1,5,0,8
38732121,1,5,6,4,1,16
17580122,2,0,0,2,0,2
13378139,1,2,3,2,4,11
38648120,0,2,4,1,2,9
70209120,0,1,3,3,4,11
59553121,2,3,4,3,6,16
94792123,1,4,2,6,2,14
8775127,1,8,6,1,2,17
83841128,1,3,2,2,0,7
48107113,0,3,2,6,1,12
18838125,2,3,7,3,2,15
77984114,0,3,2,9,0,14
12235124,0,3,3,7,4,17
67755125,2,2,6,2,0,10
13205111,2,3,4,0,3,10
15616121,2,0,1,10,1,12
82752122,2,1,3,6,1,11
12949120,1,5,5,1,2,13
43999105,1,1,5,6,2,14
41045127,2,6,8,1,4,19
52041105,1,1,6,1,1,9
61117124,1,1,1,0,1,3
42175126,1,3,6,3,0,12
41295172,0,0,1,3,0,4
55188124,1,1,3,0,1,5
89224093,2,1,1,1,0,3
80308126,2,1,1,8,1,11
89332129,0,1,4,3,1,9
18088102,1,0,4,8,4,16
62238125,1,4,5,1,6,16
10942128,1,0,0,7,0,7
23112113,0,0,4,10,0,14
1075123,1,6,7,1,1,15
85576116,0,2,2,9,1,14
35155125,0,3,4,9,0,16
26225080,0,0,3,7,1,11
82920121,2,6,5,6,3,20
4936123,2,3,5,5,1,14
66472128,0,1,2,14,0,17
37842114,1,2,3,1,3,9
62898116,0,4,5,2,2,13
85298121,1,5,9,2,0,16
85458129,0,2,7,5,3,17
3591123,1,2,4,5,1,12
9331415,0,10,6,2,5,23
88156121,1,3,5,4,2,14
42822113,1,1,4,8,3,16
14769115,0,2,4,5,4,15
87612126,0,4,6,2,0,12
57521121,0,2,3,4,1,10
24582121,1,5,10,3,1,19
17070059,0,6,4,1,4,15
67899116,0,0,5,6,3,14
44827119,0,1,4,5,2,12
28582129,1,3,5,3,1,12
64687090,1,5,5,3,0,13
72794100,1,7,4,4,0,15
82885110,0,4,5,11,2,22
86170104,1,3,2,4,1,10
64944126,1,2,6,3,2,13
96314111,1,3,4,11,3,21
